propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,topPlus,parkingSpace,updateDate,highlight,newDevelopmentFinished,newDevelopmentHighlight,CUSEC
108037740,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/d7/3a/1331939200.webp,FNG-08419M,20,1,550.0,"{'price': {'amount': 550.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 590.0, 'priceDropValue': 40, 'priceDropPercentage': 7}}}",flat,rent,60.0,True,2,1,"Carbonaire Carrer 10, 1",Castellón,La Vall d'Uixo,es,39.8290833,-0.2315568,True,https://www.idealista.com/inmueble/108037740/,376,"En Finkas ng te ofrecemos una vivienda en la Vall d'Uixo, Castellón, en la zona Barrio Carbonaire, muy acogedora, con mucha luz y al alcance de tus servicios... Un piso con muy buena distribución, totalmente cuadrado y perfecto para entrar a vivir.  Dispone de un salón-comedor con salida a una terraza de 2.5 m, dos habitaciones, un cuarto de baño con plato de ducha y una cocina independiente y equipada. Si estas pensando en cambiar de aires o has encontrado trabajo por allí. Llámanos cuanto antes! .  La vivienda se encuentra a 15 min del Puerto de Sagunto en una zona con facilidad acceso al transporte publico. En una pequeña finca y tranquila y es una primera altura con ascensor.  Agencia Registrada con el Nº 112 en el Registro Obligatorio de Agentes Inmobiliarios de la Comunitat Valenciana, según el DECRETO 98/2022, de 29 de julio, del Consell, por el que se regula el Registro de Agentes de Intermediación Inmobiliaria de la Comunitat Valenciana.  La documentación del inmueble ha sido revisada y estimamos que reúne todos los requisitos necesarios para su comercialización.  Se requiera pasar filtro de compañía aseguradoras. Solicitará, entre otras cosas; contrato de trabajo e ingresos cercanos a 2,5 veces el precio del alquiler.  El precio ofertado incluye los gastos de la comunidad de propietarios y el Impuesto de Bienes Inmuebles.  Las medidas aquí expuestas han sido obtenidas del Catastro.  El anuncio no es vinculante, puede contener errores.  Esta agencia ha sido contratada para gestionar el arrendamiento de este inmueble de forma exclusiva, garantizando un servicio de calidad, sin interferencias de terceros. Por este motivo, se ruega no molestar a los propietarios, a los ocupantes del inmueble o a los vecinos.  Muchas gracias por tu comprensión.",False,good,False,False,9.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso en Carbonaire Carrer 10, 1'}",False,False,False,False,{},[],False,False,,2025-06-03,,,,1212602003.0
108049412,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/ab/28/1332315125.webp,mh-025009,28,3,700.0,"{'price': {'amount': 700.0, 'currencySuffix': '€/mes'}}",flat,rent,84.0,True,3,2,calle de Juan Viruela Carreres,Castellón,La Vall d'Uixo,es,39.8213365,-0.2241628,False,https://www.idealista.com/inmueble/108049412/,850,"Mediterranean Homes alquila este luminoso piso en una de las mejores zonas de la Vall d’Uixó. La vivienda, recién reformada, está lista para estrenar y ofrece todas las comodidades: piscina comunitaria, plaza de parking incluida y una excelente distribución.  Al entrar, un amplio pasillo conecta todas las estancias. A la izquierda, el primer dormitorio, orientado hacia el patio interior, perfecto como habitación secundaria. Le sigue un baño completo con bañera. Continuando, accedemos al dormitorio principal, que destaca por su armario empotrado y una espectacular ventana de suelo a techo, que inunda la estancia de luz natural. Junto a él, un tercer dormitorio de tamaño más reducido, ideal como despacho u oficina, también muy luminoso y con salida a balcón. Esta zona dispone además de un segundo baño completo con ducha. La cocina, independiente y funcional, tiene salida a una práctica galería/lavadero. Finalmente, el salón-comedor de 17 m² ofrece un espacio amplio, acogedor y muy luminoso gracias a su ventanal de gran tamaño. Este piso cuenta con todo lo que necesitas, recién reformado y cerca de todos los servicios para que lo estrenes tú. ¡No puedes dejar pasar esta oportunidad única para vivir con todas las comodidades en un entorno tranquilo y bien comunicado!",True,good,False,True,8.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso en calle de Juan Viruela Carreres'}",True,False,True,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2025-06-03,,,,1212601007.0
108182042,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/b2/f0/1336334858.webp,CCI-000-000055195,29,1,670.0,"{'price': {'amount': 670.0, 'currencySuffix': '€/mes'}}",flat,rent,112.0,True,3,1,calle les Eres,Castellón,La Vall d'Uixo,es,39.8255425,-0.2321505,False,https://www.idealista.com/inmueble/108182042/,26,"Se alquila este excelente piso en La Vall d'Uixo, en zona centrica proxima a colegios, centros de salud y comercios.  Se trata de un 1º con ascensor, recientemente reformado y en su totalidad exterior.  Consta de tres habitaciones todas ellas con calefacción, dos baños, salon comedor con balcón y cocina independiente con todos los electrodomésticos y con lavadero. Gastos de comunidad incluidos en el precio.",True,good,False,True,6.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso en calle les Eres'}",False,False,False,False,{},[],False,False,,2025-06-03,,,,1212602002.0
107090314,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/35/6e/1302674995.webp,ENT03160,23,bj,650.0,"{'price': {'amount': 650.0, 'currencySuffix': '€/mes'}}",flat,rent,81.0,True,3,1,La Vall d'Uixo,Castellón,La Vall d'Uixo,es,39.8224939,-0.2378477,False,https://www.idealista.com/inmueble/107090314/,596,"Piso en planta baja en La Vall d'Uixo zona Roser, 81.00 m. de superficie, 12 m2 de terraza, 2 habitaciones dobles y una habitación sencilla, un baño, propiedad para Entrar a vivir, cocina equipada, carpintería interior de madera, orientación oeste, suelo de gres, carpintería exterior de madera. Extras: muebles, patio cubierto de 8m2, terraza, centros médicos, colegios, parques, supermercados. Consultar condiciones particulares.",False,good,False,False,8.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso'}",False,False,False,False,{},[],False,False,,2025-06-03,,,,1212603001.0
108296529,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/98/dc/1339881217.webp,RG1218A,11,2,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes'}}",flat,rent,99.0,True,3,2,calle Doctor Severo Ochoa,Castellón,La Vall d'Uixo,es,39.8221579,-0.2286307,False,https://www.idealista.com/inmueble/108296529/,507,"Vivienda en venta o alquiler con opción de compra.  ¡Descubre el hogar de tus sueños en Vall d’Uixó! Este magnífico piso en alquiler con opción a compra te ofrece todo lo que necesitas para disfrutar de la vida en un entorno cómodo y accesible.  Con 99 m² construidos, cuenta con 3 amplias habitaciones que garantizan el descanso y la privacidad que buscas. El salón es luminoso y acogedor, ideal para compartir momentos inolvidables con familiares y amigos. La cocina, de gran superficie cuenta con una práctica galería. Además, tendrás 2 baños, uno de ellos en suite, para mayor comodidad. La propiedad, construida en 2001 y en buen estado, se encuentra en la segunda planta de un edificio con ascensor, facilitando el acceso a todos los espacios. La ubicación es inmejorable: a solo 4 km de la playa y rodeado de comercios, colegios y farmacias, tendrás todo lo que necesitas a tu alcance. Y no te preocupes por el aparcamiento, ya que la plaza de garaje está incluida en el precio. ¡No dejes pasar esta oportunidad! Ven a visitar este piso y empieza a imaginar tu nueva vida aquí.",False,good,False,True,8.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso en calle Doctor Severo Ochoa'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2025-06-03,,,,1212601006.0
106186025,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/f7/a3/1275138783.webp,,9,3,600.0,"{'price': {'amount': 600.0, 'currencySuffix': '€/mes'}}",flat,rent,80.0,True,3,1,calle Arquitecto Meyer,Castellón,La Vall d'Uixo,es,39.8195521,-0.2320794,False,https://www.idealista.com/inmueble/106186025/,689,"¡Bienvenidos a un espacio acogedor y confortable para hacer tu hogar! Se alquila vivienda totalmente amueblada. Características de la vivienda: Tercera planta sin ascensor  Dormitorio de matrimonio  Dos dormitorios individuales Salon - Comedor Baño completo Cocina totalmente equipada. Galeria Características del piso disponible: Posibilidad de añadir más mobiliario según tus necesidades. Ideal para parejas o personas solas que buscan un ambiente tranquilo. Detalles Adicionales: Aceptamos inquilinos con mascotas. La vivienda estará completamente amueblada el día de la mudanza, aunque no se muestre todo el mobiliario en las imágenes. Aceptamos inquilinos sin necesidad de presentar ingresos. Sin necesidad de DNI o NIE (solo con pasaporte). Alquiler de la vivienda a corto plazo: 1 mes +100% adicional. 2/3 meses +50% adicional. 4/6 meses +25% adicional. 7/11 meses +12,5% adicional. Podemos emitir facturas con IVA para empresas o autónomos. alquiler + coste IVA (21%). ¡No pierdas la oportunidad de ser parte de este acogedor espacio! Contáctanos para más información o para agendar una visita. ¡Bienvenidos a un espacio acogedor y confortable para hacer tu hogar! Se alquila estudio amueblado.",False,good,False,False,8.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso en calle Arquitecto Meyer'}",False,False,False,False,{},[],False,False,,2025-06-03,,,,1212602010.0
107719322,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/a0/eb/1320779293.webp,2584,16,1,46000.0,"{'price': {'amount': 46000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 54840.0, 'priceDropValue': 8840, 'priceDropPercentage': 16}}}",flat,sale,48.0,True,2,1,Carbonaire Travessia 3,Castellón,La Vall d'Uixo,es,39.8307651,-0.2330221,False,https://www.idealista.com/inmueble/107719322/,561,"Piso 1º a reformar en venta en La Vall de Uxó ¿Dónde se ubica esta vivienda? Este piso 1º a reformar en venta, se ubica en La Vall de Uxó, un municipio de la provincia de Castellón en la Comunidad Valenciana, perteneciente a la comarca de la Plana Baja. ¿Cuántos metros cuadrados tiene la vivienda y en cuantas plantas se distribuyen? Este piso 1º a reformar en venta, tiene una superficie construida de 48m2 y se distribuye en una única planta principal. ¿Cuántas estancias tiene y donde se ubican cada una? En la única planta principal accedemos a través del distribuidor y encontramos la cocina amueblada, el salón con acceso a la terraza, dos dormitorios y un baño con ducha. ¿Qué tipo de calidades tiene esta vivienda? Este piso 1º a reformar tiene techos altos, pintura lisa, puertas de madera, ventanas de aluminio, suelo de gres, agua caliente con termo eléctrico, etc ¿Dispone de zonas comunes? No dispone de zonas comunes ¿A que distancia se encuentra la vivienda de la capital? Se ubica concretamente a 30 minutos de Castellón. ¿Con que tipo de transporte público puedo moverme? La Vall de Uxó está muy bien comunicada por líneas de autobús urbano con servicio a Valencia y Castellón. ¿Qué tipo de servicio tiene este municipio? El municipio cuenta con numerosos servicios como hoteles, instalaciones deportivas, supermercados, 12 centros escolares públicos, 3 institutos de ESO y FP, centros sanitarios y una gran variedad en comercios y restauración. Es una ciudad de interior situada entre un valle y a muy pocos kilómetros, tan solo ocho, de las playas de la Costa del Azahar. ¡Somos un equipo de profesionales! • Con más de 15 años de experiencia en el sector, que le acompañará durante todo el proceso de compra de su vivienda: • Acompañarte a ver los inmuebles que se ajusten a tus deseos. • Asesorarte legal, fiscal y financieramente para comprobar las cargas que pueda tener el inmueble, los costes de gastos e impuestos y la forma de financiarlo. • Gestionamos tu crédito o hipoteca. • Redactamos los contratos de compraventa y te informamos de la documentación necesaria. • Por último una vez comprado el inmueble, te facilitamos los proveedores locales que te sean necesarios para que puedas dejar tu inmueble tal como soñabas. ¡NO DEJES QUE TE LO CUENTEN, LLÁMANOS PARA SOLICITAR MÁS INFORMACIÓN!",False,renew,False,False,958.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso en Carbonaire Travessia 3'}",True,False,False,False,{},[],False,False,,2025-06-03,,,,1212602011.0
107873347,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/e7/2f/1341880496.webp,CHA0053,25,,165000.0,"{'price': {'amount': 165000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 180000.0, 'priceDropValue': 15000, 'priceDropPercentage': 8}}}",chalet,sale,314.0,,3,3,La Vall d'Uixo,Castellón,La Vall d'Uixo,es,39.8282618,-0.2307205,False,https://www.idealista.com/inmueble/107873347/,310,"Vivienda unifamiliar de tres distribuida en sótano, planta baja, primer piso y gran terraza en la planta superior en La Vall d'Uixó (Castellón), que comercializamos en exclusiva. Al sótano se accedería tanto por escaleras como en ascensor y mide 80 m². La Planta Baja, que mide 128 m², consta de garaje con capacidad para cuatro vehículos, una habitación con ventana climalit a deslunado y techo desmontable y un baño completo con plato de ducha. La puerta para acceder al garaje es automática. Acceso con puerta desde la calle a recibidor. El Primer Piso, cuyas dimensiones son 134 m² está completamente diáfano para que la termines a tu gusto. No obstante, dispone de proyecto con los planos realizado por un arquitecto con tres habitaciones, dos cuartos de baño, cocina independiente, salón-comedor y amplio patio de luces. Ventanal grande a la calle. Dispone de una gran terraza de 116 m² en planta superior y hueco para ascensor con parada en todas las plantas incluido el sótano y la terraza. Excelentemente situada a menos de 10 minutos andando del centro de la localidad. No están incluidos en el precio los honorarios de la inmobiliaria, los gastos de Notaria, los gastos del Registro ni los impuestos derivados de la compraventa. Si estas interesado en este inmueble o conoces a alguien que pueda estarlo no dudes en ponerte en contacto con nosotros para pedir más información. En Ximo Granell inmobiliaria La Vall D'Uixó estaremos encantados en atenderte. [IW].",False,good,False,,525.0,{},"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': ""La Vall d'Uixo"", 'title': 'Casa independiente'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2025-06-03,,,,1212602003.0
107879019,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/ee/69/1341880439.webp,PIS0048,19,1,123500.0,"{'price': {'amount': 123500.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 128500.0, 'priceDropValue': 5000, 'priceDropPercentage': 4}}}",flat,sale,81.0,True,2,2,La Vall d'Uixo,Castellón,La Vall d'Uixo,es,39.8256784,-0.2396712,False,https://www.idealista.com/inmueble/107879019/,629,"Piso exterior de 88 m² construidos en el Barrio Carbonaire de La Vall d'Uixó (Castellón), ubicado en la primera planta de un edificio de tres alturas con ascensor. Excelentemente situado a menos de 15 minutos andando del Centro. La vivienda consta de un recibidor con gran armario, salón-comedor exterior amplio y muy luminoso con gran ventanal triple y amueblado, cocina independiente totalmente equipada con electrodomésticos con acceso a patio interior, aseo, dos habitaciones amplias (la de matrimonio con armario empotrado y balcón), baño completo con plato de ducha y cuatro Plazas de Garaje cerradas haciendo un garaje muy Amplio cerrado de 40 m².  Trastero en planta superior de 8 m². Termo eléctrico. Aire acondicionado por conductos. Puerta automática en el Garaje. No están incluidos en el precio los honorarios de la inmobiliaria, los gastos de Notaria, los gastos del Registro ni los impuestos derivados de la compraventa. Si estas interesado en este inmueble o conoces a alguien que pueda estarlo no dudes en ponerte en contacto con nosotros para pedir más información. En Ximo Granell inmobiliaria La Vall D'Uixó estaremos encantados en atenderte. [IW].",False,good,False,True,1525.0,{},{'typology': 'flat'},"{'subtitle': ""La Vall d'Uixo"", 'title': 'Piso'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2025-06-03,,,,1212603002.0
107738984,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/a5/01/1321535163.webp,,17,,155000.0,"{'price': {'amount': 155000.0, 'currencySuffix': '€', 'priceDropInfo': {'formerPrice': 159000.0, 'priceDropValue': 4000, 'priceDropPercentage': 3}}}",chalet,sale,363.0,,3,1,calle del Calvari,Castellón,La Vall d'Uixo,es,39.8241782,-0.2360532,False,https://www.idealista.com/inmueble/107738984/,365,"CASA CREATIVA INMOBILIARIA vende casa en La Vall d'Uixó, una localidad con encanto en la provincia de Castellón, rodeada de naturaleza y con todos los servicios al alcance. La ciudad es conocida por sus cuevas de Sant Josep, con el río subterráneo navegable más largo de Europa, además de su ambiente tranquilo, buen clima y excelente conexión con Castellón y Valencia. La vivienda cuenta con tres plantas y ofrece una gran versatilidad, perfecta tanto como inversión como para convertirla en un hogar acogedor. � Planta baja: Un espacio totalmente diáfano con múltiples posibilidades. Puede destinarse a garaje con gran capacidad o convertirse en una vivienda independiente con acceso propio. Ideal para negocios, almacenamiento o incluso un loft moderno. � Primera planta: Aquí encontramos la zona principal de la vivienda, con una cocina funcional, un baño completo y tres habitaciones amplias y luminosas. Además, dispone de un balcón, perfecto para disfrutar del aire libre y dejar entrar la luz natural. � Segunda planta: Un amplio espacio diáfano para adaptarlo a tu gusto. Puedes crear un salón extra, más habitaciones, una zona de ocio o lo que prefieras. ¡Tienes libertad total para diseñarlo a tu manera! Además, la casa cuenta con una terraza comunitaria de uso exclusivo, ideal para disfrutar del buen tiempo, organizar reuniones o simplemente relajarse al aire libre. Ubicada en una zona tranquila y bien comunicada, con supermercados, colegios, tiendas y parques cercanos. La Vall d'Uixó es una ciudad con una rica vida cultural y tradiciones, además de estar a pocos minutos de la playa y la montaña, lo que la convierte en un lugar ideal para vivir.  ¡No dejes pasar esta oportunidad y ven a visitarla!",False,renew,False,,427.0,{},"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': ""La Vall d'Uixo"", 'title': 'Chalet pareado en calle del Calvari'}",False,False,False,False,{},[],False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2025-06-03,,,,1212602004.0
