propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,change,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,savedAd,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,parkingSpace,updateDate,luxuryVisibility,highlight,newDevelopmentFinished
107395833,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/02/9e/1311658250.webp,A3344,20,4,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 300, 'priceDropPercentage': 20}}}",duplex,rent,75.0,True,1,2,"Dúplex en Centro, Córdoba",Córdoba,Córdoba,Centro - Casco Histórico,es,Centro,37.8860673,-4.7813915,False,https://www.idealista.com/inmueble/107395833/,707,"¡Descubre este magnífico tríplex en alquiler, ideal para disfrutar de la vida en el corazón de Córdoba! Situado junto a la emblemática Plaza de las Tendillas, este espectacular dúplex cuenta con un dormitorio y dos baños completos, perfectos para quienes buscan comodidad y estilo. La cocina amueblada está equipada con electrodomésticos de calidad, lista para que prepares tus mejores platos. El inmueble, con 75 m² construidos y 60 m² útiles, ofrece un ambiente climatizado y persianas motorizadas que garantizan tu confort en cualquier época del año. Además, podrás relajarte en las terrazas con las mejores vistas de la ciudad, un verdadero lujo que no querrás perderte. Ubicado cerca del casco histórico de Córdoba, tendrás acceso a todo tipo de servicios y estarás a un paso de la estación de tren y bus. Este dúplex es una oportunidad única por que es una vivienda muy especial. Con calefacción eléctrica y aire acondicionado, este hogar está listo para recibirte. ¡No esperes más y ven a visitarlo.",False,good,False,True,16.0,{},"{'typology': 'flat', 'subTypology': 'duplex'}","{'title': 'Dúplex en Centro, Córdoba'}",False,False,False,False,{},[],False,False,False,,2026-09-01,,,
101858431,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/97/58/1452222472.webp,13447,19,4,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1350.0, 'priceDropValue': 250, 'priceDropPercentage': 19}}}",penthouse,rent,80.0,True,2,1,"Ático en Tablero, Córdoba",Córdoba,Córdoba,Noreña - Figueroa,es,Tablero,37.8967991,-4.7984268,False,https://www.idealista.com/inmueble/101858431/,1662,"Te presentamos este impresionante ático disponible para alquilar, ubicado en una atractiva urbanización con piscina que te permitirá disfrutar del clima agradable durante todo el año.  Este inmueble destaca por su espectacular terraza con vistas despejadas, a la cual se puede acceder desde todas las estancias del hogar, convirtiéndose en un lugar ideal para relajarte o compartir momentos inolvidables con familiares y amigos. La propiedad consta de un luminoso salón comedor independiente que ofrece amplitud y confort; dos acogedores dormitorios equipados con armarios empotrados que optimizan el espacio; así como una cocina totalmente equipada donde podrás dar rienda suelta a tu creatividad culinaria.  Además, cuenta con un baño amplio y funcional diseñado para brindar comodidad. El precio incluye también plaza de garaje y trastero, lo que añade valor a esta oferta única.  Ubicada en una zona tranquila pero bien comunicada, esta vivienda reúne todas las comodidades necesarias para vivir placenteramente. No pierdas la oportunidad de residir aquí: contáctanos ahora mismo a JADE GRUPO INMOBILIARIO!  Recuerda que se requiere solvencia económica demostrable y no se aceptan mascotas.",False,good,False,True,14.0,{},"{'typology': 'flat', 'subTypology': 'penthouse'}","{'title': 'Ático en Tablero, Córdoba'}",False,False,False,False,{},[],False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2026-09-01,,,
111909451,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/02/cf/1452414512.webp,,15,4,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1350.0, 'priceDropValue': 250, 'priceDropPercentage': 19}}}",flat,rent,80.0,True,2,1,"Piso en Calle Dolores Ibárruri, Tablero, Córdoba",Córdoba,Córdoba,Noreña - Figueroa,es,Tablero,37.895786,-4.8000046,False,https://www.idealista.com/inmueble/111909451/,1768,"¡Descubre tu nuevo hogar en Tablero! Te presentamos este magnífico piso en alquiler ubicado en la deseable zona de Tablero, un espacio perfecto para disfrutar de la vida moderna con todas las comodidades que necesitas. Con 80 m² construidos y 70 m² útiles, este inmueble ofrece una distribución inteligente y funcional que aprovecha cada rincón.  Espacios amplios y luminosos El piso cuenta con un gran salón-comedor ideal para disfrutar en familia o recibir amigos, complementado con una espectacular terraza de 30 m² que te permitirá disfrutar del aire libre y crear tu propio refugio personal. Desde la cuarta planta, con orientación norte, tendrás luz natural durante todo el día en este espacio exterior privilegiado.  Dormitorios y confort garantizado Dispone de 2 dormitorios equipados con armarios empotrados de buena calidad, perfectos para organizar tus pertenencias. El baño completo está diseñado con acabados de calidad, y la cocina amueblada te permite comenzar a vivir desde el primer día sin preocupaciones adicionales.  Climatización y servicios premium El aire acondicionado centralizado mantiene la temperatura ideal en cualquier época del año, mientras que la calefacción eléctrica garantiza tu confort durante los meses más fríos. Las puertas lacadas en blanco y los acabados de buena calidad reflejan el cuidado en cada detalle.  Accesibilidad y extras incluidos Acceso mediante ascensor directo a tu vivienda, plaza de garaje incluida en el precio y acceso a la piscina comunitaria para disfrutar del ocio. Un inmueble en buen estado, listo para vivir, en una ubicación privilegiada con todas las facilidades que mereces.",False,good,False,True,14.0,{},{'typology': 'flat'},"{'title': 'Piso en Calle Dolores Ibárruri, Tablero, Córdoba'}",False,False,False,False,{},[],False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2026-09-01,,,
101858802,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/aa/04/1452775064.webp,A2794Esp,33,4,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1350.0, 'priceDropValue': 250, 'priceDropPercentage': 19}}}",penthouse,rent,110.0,True,2,1,"Ático en Tablero, Córdoba",Córdoba,Córdoba,Noreña - Figueroa,es,Tablero,37.894949,-4.7949979,False,https://www.idealista.com/inmueble/101858802/,1318,"Descubre este maravilloso piso ático ubicado en la cuarta planta de un edificio moderno, justo al lado de Glorieta Amadora. �  Con una distribución que incluye un acogedor hall, amplio salón y dos confortables dormitorios con armarios empotrados, esta propiedad es ideal para quienes buscan comodidad y estilo. �  El inmueble cuenta con un baño completo y destaca por su espectacular terraza de 30 m2 —perfecta para disfrutar del aire libre— parte cerrada para mayor privacidad. ☀️ Ademásestá climatizado para garantizar tu bienestar durante todo el año. Complementando las comodidades internas se ofrecen plaza de cochera � y trastero �. La comunidad también dispone de zonas comunes equipadas con piscina�♀️. Es importante señalar que solo se aceptan inquilinos con nómina demostrable e historial laboral estable; además, realizamos seguro contra impago como medida adicional. La ubicación es excelente: rodeado por supermercados �, centros cívicos �, parques �, hospitales �y gimnasios �. Todo lo necesario al alcance! El precio mensual asciende a tan solo 1350 € incluyendo gastos comunitarios ¿Te interesa?  Pregúntanos más detalles o ven a verlo! � INFORMACIÓN AL CONSUMIDOR – ARRENDAMIENTO DE VIVIENDA HABITUAL En cumplimiento de la normativa vigente, se informa de que el Documento Informativo Abreviado (DIA) se encuentra a disposición del cliente, conforme a lo establecido en el artículo 31 de la Ley 12/2023, de 24 de mayo, por el Derecho a la Vivienda. La información contenida en este anuncio tiene carácter meramente informativo y no contractual, pudiendo estar sujeta a errores, modificaciones de precio, omisiones o retirada del mercado sin previo aviso. El arrendamiento se regirá por lo dispuesto en la Ley 29/1994, de 24 de noviembre, de Arrendamientos Urbanos y demás normativa aplicable. De conformidad con la legislación vigente, los gastos de gestión inmobiliaria y formalización del contrato serán a cargo del arrendador cuando el arrendamiento tenga como destino vivienda habitual. La renta publicada no incluye, salvo indicación expresa, los gastos de suministros (agua, electricidad, gas, telecomunicaciones) ni otros servicios que puedan individualizarse o pactarse en el contrato de arrendamiento.",False,good,False,False,10.0,{},"{'typology': 'flat', 'subTypology': 'penthouse'}","{'title': 'Ático en Tablero, Córdoba'}",False,False,False,False,{},[],False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2026-09-01,,,
111212716,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7a/60/73/1429235174.webp,,13,4,900.0,"{'price': {'amount': 900.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1100.0, 'priceDropValue': 200, 'priceDropPercentage': 18}}}",flat,rent,95.0,True,3,1,"Piso en Calle Albéniz, Ciudad Jardín, Córdoba",Córdoba,Córdoba,Ciudad Jardín,es,Ciudad Jardín,37.8819884,-4.7907727,False,https://www.idealista.com/inmueble/111212716/,1474,comunidad y agua incluida Solo para estudiantes. split en cada estancia  1 baño y un aseo.,False,good,False,True,9.0,{},{'typology': 'flat'},"{'title': 'Piso en Calle Albéniz, Ciudad Jardín, Córdoba'}",False,False,False,False,{},[],False,False,False,,2026-09-01,,,
34356936,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/b0/c9/1467339771.webp,12-IN87830X,19,,525.0,"{'price': {'amount': 525.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 600.0, 'priceDropValue': 75, 'priceDropPercentage': 13}}}",flat,rent,60.0,True,1,1,"Piso en Huerta de la Reina, Córdoba",Córdoba,Córdoba,Santa Rosa - Valdeolleros,es,Huerta de la Reina,37.8965262,-4.7851548,False,https://www.idealista.com/inmueble/34356936/,626,"La vivienda dispone de un dormitorio, cuarto de baño completo con placa de ducha, salón independiente con armario empotrado y trastero con altillo, cocina equipada y plaza de garaje. No admite mascotas.  *Información adicional: Para cumplir con la normativa vigente tenemos a disposición del cliente el Documento de Información Abreviada D. I. A. Los precios indicados no tienen caducidad, pero pueden ser alterados sin previo aviso.  **Para inmuebles en venta: Los gastos de la compra según Ley (Notaria, Registro e Impuestos) no están incluidos. El mobiliario que aparece en las fotografías no está incluido. Los Honorarios de la agencia no están incluidos. *** Para inmuebles en alquiler: Los Honorarios de la agencia no están incluidos. Vivienda de uso estable y permanente, exentas de honorarios por parte del inquilino.",False,good,False,False,9.0,{},{'typology': 'flat'},"{'title': 'Piso en Huerta de la Reina, Córdoba'}",False,False,False,False,{},[],False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2026-09-01,,,
112201039,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/08/86/ce/1462002182.webp,25-CC348X,11,5,1300.0,"{'price': {'amount': 1300.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 200, 'priceDropPercentage': 13}}}",flat,rent,54.0,True,2,1,"Piso en Centro, Córdoba",Córdoba,Córdoba,Centro - Casco Histórico,es,Centro,37.8839246,-4.7824113,False,https://www.idealista.com/inmueble/112201039/,957,"Descubra una vivienda única en alquiler en una de las ubicaciones más privilegiadas de Córdoba, a escasos metros de la emblemática Plaza de las Tendillas. Un piso exclusivo que combina elegancia, diseño contemporáneo y el máximo confort, ideal para quienes desean disfrutar del centro de la ciudad sin renunciar a la calidad. La vivienda ha sido completamente reformada a estrenar y se entrega totalmente amueblada y equipada, con una cuidada decoración de estilo moderno y acabados de alta calidad. Dispone de un luminoso salón-comedor con cocina americana de diseño, completamente equipada con electrodomésticos, creando un espacio abierto, funcional y acogedor. El salón incorpora además un práctico sofá cama, aportando una mayor versatilidad. Cuenta con dos dormitorios, un elegante baño completo y excelentes calidades en toda la vivienda. Para garantizar el máximo bienestar durante todo el año, dispone de climatización y ventiladores de techo en todas las estancias, ofreciendo una temperatura agradable con un consumo eficiente. Como valor añadido, la vivienda incluye plaza de garaje en el mismo edificio, un auténtico privilegio en pleno centro de la ciudad, incluida en el precio del alquiler. Una vivienda pensada para quienes buscan exclusividad, comodidad y una ubicación inmejorable en el centro de Córdoba. Una oportunidad excepcional para vivir con todas las comodidades en una de las zonas más demandadas de la ciudad.  *Información adicional: Para cumplir con la normativa vigente tenemos a disposición del cliente el Documento de Información Abreviada D. I. A. Los precios indicados no tienen caducidad, pero pueden ser alterados sin previo aviso.  **Para inmuebles en venta: Los gastos de la compra según Ley (Notaria, Registro e Impuestos) no están incluidos. El mobiliario que aparece en las fotografías no está incluido. Los Honorarios de la agencia no están incluidos. *** Para inmuebles en alquiler: Los Honorarios de la agencia no están incluidos. Vivienda de uso estable y permanente, exentas de honorarios por parte del inquilino.",False,good,False,True,24.0,{},{'typology': 'flat'},"{'title': 'Piso en Centro, Córdoba'}",False,False,False,False,{},[],False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2026-09-01,,,
112380845,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/57/33/2f/1468012458.webp,1400-000135-02,11,5,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 850.0, 'priceDropValue': 100, 'priceDropPercentage': 12}}}",flat,rent,115.0,True,3,1,"Piso en San Cayetano, Córdoba",Córdoba,Córdoba,Centro - Casco Histórico,es,San Cayetano,37.8921855,-4.7724699,False,https://www.idealista.com/inmueble/112380845/,689,"� Se alquila amplia vivienda exterior con 3 dormitorios de 115 m². La vivienda se encuentra en una 5ª planta con ascensor y destaca por su luminosidad y distribución cómoda y funcional. Cuenta con 3 dormitorios, amplio salón independiente, cocina totalmente equipada, 1 baño completo y armarios empotrados. Dispone además de climatización central y se entrega sin amueblar, ofreciendo la posibilidad de adaptar cada estancia al gusto de sus nuevos inquilinos. - Climatización central y armarios empotrados. - Gastos de comunidad incluidos en el precio. - No se aceptan mascotas.",False,good,False,True,7.0,{},{'typology': 'flat'},"{'title': 'Piso en San Cayetano, Córdoba'}",False,False,False,False,{},[],False,False,False,,2026-09-01,,,
111998636,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/46/cd/a4/1455310360.webp,,25,en,660.0,"{'price': {'amount': 660.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 740.0, 'priceDropValue': 80, 'priceDropPercentage': 11}}}",flat,rent,80.0,True,1,1,"Piso en Calle Julio Valdelomar, Casco Histórico - Corredera - Ribera, Córdoba",Córdoba,Córdoba,Centro - Casco Histórico,es,Casco Histórico - Corredera - Ribera,37.8863126,-4.7654355,False,https://www.idealista.com/inmueble/111998636/,1470,"A PARTIR DEL 15 DE OCTUBRE ATENCION PAREJAS O PERSONAS SOLAS - MASCOTAS El anunciante lo ve apropiado para  Mascotas  Personas con movilidad reducida (Solo acceso exterior adaptado) Características básicas  80 m² construidos  1 habitación  1 baño  Segunda mano/buen estado  Amueblado y cocina equipada Edificio  Entreplanta exterior  Con ascensor Equipamiento  Aire acondicionado Piso en alquiler en La Magdalena (Córdoba) Se alquila precioso piso de 1 dormitorio en la zona de La Magdalena, a escasos minutos del centro histórico y rodeado de todos los servicios (supermercados, transporte, comercios y zonas de ocio). La vivienda se encuentra en una primera planta (bajo alto) con ascensor, totalmente amueblada y lista para entrar a vivir. Características: * 1 dormitorio amplio con gran armario. * Salón-comedor luminoso. * Cocina independiente completamente equipada con electrodomésticos. * Baño reformado con amplia placa de ducha. * Aire acondicionado y calefacción por conductos, prácticamente sin estrenar. * Patio privado, perfecto como zona de desahogo o para disfrutar de un espacio exterior. * Edificio tranquilo y bien cuidado. Precio: 740 €/mes, con comunidad incluida. Los suministros de agua y luz no están incluidos. Se requiere nómina y solvencia económica demostrable. Una excelente oportunidad para quienes buscan una vivienda cómoda, tranquila y muy bien ubicada en una de las zonas con más encanto de Córdoba.  PARA INGRESAR MES DE FIANZA, GESTION Y MES CORRIENTE.",False,good,False,True,8.0,{},{'typology': 'flat'},"{'title': 'Piso en Calle Julio Valdelomar, Casco Histórico - Corredera - Ribera, Córdoba'}",False,False,False,False,{},[],False,False,False,,2026-09-01,,,
82432925,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/96/4f/1450837366.webp,8977,11,6,800.0,"{'price': {'amount': 800.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 900.0, 'priceDropValue': 100, 'priceDropPercentage': 11}}}",flat,rent,80.0,True,3,1,"Piso en Huerta de la Marquesa, Córdoba",Córdoba,Córdoba,Zoco - Poniente - Vistalegre,es,Huerta de la Marquesa,37.8845276,-4.7956673,False,https://www.idealista.com/inmueble/82432925/,1604,"¡Atención estudiantes!  Les presentamos un excelente piso disponible en la zona de Ciudad Jardín, perfecto para aquellos que buscan comodidad y funcionalidad.  Este luminoso apartamento cuenta con tres amplias habitaciones, idealmente distribuidas para maximizar el espacio.  Dispone de un baño completo y una acogedora sala de estar donde podrán relajarse después del estudio.  La cocina está equipada y lista para usar, además incluye consola de aire acondicionado y calefacción, lo que asegura su confort durante todo el año. La propiedad también ofrece armarios empotrados que brindan almacenamiento adicional sin ocupar valioso espacio habitable.  Al ser exterior, disfrutarán de vistas agradables desde su propia terraza privada; ¡un lugar perfecto para estudiar al aire libre o compartir momentos entre amigos! Los gastos comunitarios así como los costos por agua están incluidos dentro del precio indicado.  No pierdan esta magnífica oportunidad; consulten sin compromiso a través de Jade Grupo Inmobiliario y les proporcionaremos toda la información necesaria. Se requiere solvencia económica demostrable  No se aceptan mascotas.",False,good,False,True,10.0,{},{'typology': 'flat'},"{'title': 'Piso en Huerta de la Marquesa, Córdoba'}",False,False,False,False,{},[],False,False,False,,2026-09-01,,,
